Subject,Date of Trial,Birthdate,Age,Correct Response,ImPairNumber,ImageFileName,Response,CorrectBasic,CorrectSize,RespondedButIncorrect
2,3/31/16,10/13/10,52,Apple,1,01_apple.png,Apple,1,1,0
2,2/4/15,10/13/10,52,Desk,11,11_controller.png,Tamari?,0,0,1
2,2/4/15,10/13/10,52,Game Controller,2,02_carousel.png,Carousel,1,1,0
2,2/4/15,10/13/10,52,Carosel,12,12_pencil sharpener 5.png,x,0,0,0
2,2/4/15,10/13/10,52,Pencil Sharperner,1,01_desk.png,Table,1,1,0
2,2/4/15,10/13/10,52,Couch,3,03_sofachair.png,Couch,1,1,0
2,2/4/15,10/13/10,52,Tractor,4,04_tractor11.png,Tractor,1,1,0
2,2/4/15,10/13/10,52,Rubber Duck,13,13_rubberduck.png,Duck,1,1,0
2,2/4/15,10/13/10,52,Covered Wagon,5,05_wagon.png,x,0,0,0
2,2/4/15,10/13/10,52,Perfume Bottle,14,14_perfume.png,Perfume,1,1,0
2,2/4/15,10/13/10,52,Tape Dispenser,15,15_scotchtape.png,Sticky Tape,1,1,0
2,2/4/15,10/13/10,52,Grill,7,07_grill.png,BBQ,1,1,0
2,2/4/15,10/13/10,52,Alarm Clock,16,16_clock.png,Clock,1,1,0
2,2/4/15,10/13/10,52,Pinecone,17,17_pinecone.png,Cracker,0,1,1
2,2/4/15,10/13/10,52,Piano,8,08_uprightpiano.png,Piano,1,1,0
2,2/4/15,10/13/10,52,Ring Box,18,18_ringbox03.png,Box,1,1,0
2,2/4/15,10/13/10,52,Garlic,19,19_garlic.png,Garlic,1,1,0
2,2/4/15,10/13/10,52,Ornament,20,20_ornament.png,Bubble,0,1,1
2,2/4/15,10/13/10,52,Chair,9,09_armchair.png,Chair,1,1,0
2,2/4/15,10/13/10,52,Shell,2,02_seashell.png,Shell,1,1,0
2,2/4/15,10/13/10,52,Buffao,10,10_bison.png,Animal,0,0,1
2,2/4/15,10/13/10,52,Baseball,3,03_baseball 2.png,Ball,1,1,0
2,2/4/15,10/13/10,52,Fountain Statue,11,11_fountain13.png,Funny Shell,0,0,1
2,2/4/15,10/13/10,52,Parthanon,6,06_parthenon.png,House,1,1,0
2,2/4/15,10/13/10,52,Camera,4,04_camera.png,Camera,1,1,0
2,2/4/15,10/13/10,52,Button,5,05_button.png,Button,1,1,0
